Nom,Terminee,Date_d_echeance,Projet,Liste,Supprimee,Ordre,Terminee_le,Etiquettes,Priorite,Creee_le
Préparer la maquette de la page d'accueil,false,2026-05-25,La boussole,Aujourd'hui,false,10,,Design Frontend,P2,2026-05-01 09:00:00
Corriger le bug de connexion,false,2026-05-22,Application mobile,Aujourd'hui,false,20,,Développement Backend,P1,2026-05-15 10:30:00
Présentation client vendredi,false,2026-05-22,La boussole,Aujourd'hui,false,30,,Urgent,P1,2026-05-21 08:00:00
Réviser les maquettes avec l'équipe,false,2026-05-23,La boussole,Aujourd'hui,false,40,,Design Review,P2,2026-05-18 14:00:00
Tester le flux d'inscription,false,2026-05-24,Application mobile,Aujourd'hui,false,50,,Review Frontend,P1,2026-05-20 11:00:00
Revoir l'architecture de base de données,false,2026-05-26,Application mobile,Aujourd'hui,false,60,,Backend Review,P1,2026-05-20 16:00:00
Créer les composants UI du tableau de bord,false,2026-05-27,Refonte site,Aujourd'hui,false,70,,Frontend Design,P2,2026-05-19 09:00:00
Corriger les erreurs 404 en production,false,2026-05-22,Infrastructure,Aujourd'hui,false,80,,Backend Urgent,P1,2026-05-21 07:00:00
Relire et valider les CGU,false,2026-05-23,La boussole,Aujourd'hui,false,90,,Review Documentation,P2,2026-05-20 10:00:00
Préparer les données de démonstration,false,2026-05-22,La boussole,Aujourd'hui,false,100,,Documentation,P2,2026-05-22 08:00:00
Mettre à jour les captures d'écran de la doc,false,2026-05-26,Refonte site,Aujourd'hui,false,110,,Documentation Design,P3,2026-05-21 09:00:00
Valider le plan de sprint avec le PO,false,2026-05-22,Application mobile,Aujourd'hui,false,120,,Review Urgent,P1,2026-05-22 08:30:00
Corriger l'affichage mobile de la nav,false,2026-05-24,Refonte site,Aujourd'hui,false,130,,Frontend Design,P2,2026-05-19 14:00:00
Vérifier les accès en staging,false,2026-05-23,Infrastructure,Aujourd'hui,false,140,,Backend,P2,2026-05-21 11:00:00
Rédiger le compte rendu de la réunion,false,2026-05-22,La boussole,Aujourd'hui,false,150,,Documentation,P3,2026-05-22 09:00:00
Implémenter l'authentification OAuth,false,2026-05-28,Application mobile,Prochainement,false,10,,Backend Développement,P1,2026-05-16 10:00:00
Déployer en production,false,2026-05-29,Infrastructure,Prochainement,false,20,,Urgent Backend,P1,2026-05-20 15:00:00
Rédiger les spécifications techniques,false,2026-05-30,Refonte site,Prochainement,false,30,,Documentation,P3,2026-05-10 09:00:00
Mettre à jour les dépendances npm,false,2026-06-01,Infrastructure,Prochainement,false,40,,Développement,P3,2026-05-12 11:00:00
Optimiser les requêtes SQL lentes,false,2026-06-03,Application mobile,Prochainement,false,50,,Backend Développement,P2,2026-05-17 10:00:00
Créer les tests end-to-end,false,2026-06-05,Refonte site,Prochainement,false,60,,Développement Review,P2,2026-05-21 09:00:00
Rédiger la documentation API REST,false,2026-06-08,Infrastructure,Prochainement,false,70,,Documentation Développement,P3,2026-05-18 14:00:00
Mettre en place le monitoring Grafana,false,2026-06-10,Infrastructure,Prochainement,false,80,,Backend,P2,2026-05-21 16:00:00
Refactorer le module de paiement,false,2026-06-12,Application mobile,Prochainement,false,90,,Backend Développement,P3,2026-05-19 10:00:00
Intégrer le système de notifications push,false,2026-06-05,Application mobile,Prochainement,false,100,,Backend Frontend,P2,2026-05-20 09:00:00
Concevoir les écrans de l'onboarding,false,2026-05-29,Application mobile,Prochainement,false,110,,Design Frontend,P2,2026-05-18 11:00:00
Améliorer le temps de chargement,false,2026-06-15,Refonte site,Prochainement,false,120,,Frontend Développement,P2,2026-05-19 14:00:00
Mettre en place le pipeline CI/CD,false,2026-06-01,Infrastructure,Prochainement,false,130,,Backend Développement,P2,2026-05-17 09:00:00
Écrire les tests unitaires du module auth,false,2026-06-08,Application mobile,Prochainement,false,140,,Développement Review,P3,2026-05-20 10:00:00
Migrer vers PostgreSQL 16,false,2026-06-20,Infrastructure,Prochainement,false,150,,Backend Urgent,P1,2026-05-21 14:00:00
Préparer le plan de communication,false,2026-06-20,La boussole,Boîte de réception,false,10,,Documentation,P3,2026-05-22 09:00:00
Définir les personas utilisateurs,false,,La boussole,Boîte de réception,false,20,,Design Review,P2,2026-05-20 11:00:00
Audit de sécurité de l'application,false,,Infrastructure,Boîte de réception,false,30,,Backend Urgent,P1,2026-05-21 14:00:00
Explorer les solutions d'internationalisation,false,,Refonte site,Boîte de réception,false,40,,Développement Documentation,P3,2026-05-15 10:00:00
Analyser les retours utilisateurs Q1,false,,La boussole,Boîte de réception,false,50,,Review,P2,2026-05-12 10:00:00
Évaluer les outils de test A/B,false,,La boussole,Boîte de réception,false,60,,Review,P3,2026-05-18 09:00:00
Définir la stratégie SEO,false,2026-06-30,Refonte site,Boîte de réception,false,70,,Documentation,P2,2026-05-10 14:00:00
Rechercher des librairies de dataviz,false,,Application mobile,Boîte de réception,false,80,,Frontend Développement,P3,2026-05-14 11:00:00
Préparer la roadmap Q3,false,2026-06-25,La boussole,Boîte de réception,false,90,,Documentation Urgent,P1,2026-05-22 08:00:00
Rédiger la politique de confidentialité,false,2026-06-15,La boussole,Boîte de réception,false,100,,Documentation,P2,2026-05-16 09:00:00
Benchmarker les concurrents,false,,La boussole,Boîte de réception,false,110,,Review Design,P3,2026-05-11 10:00:00
Planifier la mise à jour de l'identité visuelle,false,,La boussole,Boîte de réception,false,120,,Design,P3,2026-05-19 14:00:00
Choisir la solution de gestion des logs,false,,Infrastructure,Boîte de réception,false,130,,Backend,P2,2026-05-20 15:00:00
Préparer le kit de presse,false,2026-06-10,La boussole,Boîte de réception,false,140,,Design Documentation,P3,2026-05-17 11:00:00
Étudier la mise en place d'un CDN,false,,Infrastructure,Boîte de réception,false,150,,Backend,P2,2026-05-13 09:00:00
Recueillir les besoins pour la v2,false,,Application mobile,Boîte de réception,false,160,,Review Documentation,P2,2026-05-21 10:00:00
Standardiser les messages d'erreur API,false,2026-06-05,Application mobile,Boîte de réception,false,170,,Backend Développement,P2,2026-05-19 16:00:00
Créer un guide de contribution,false,,Infrastructure,Boîte de réception,false,180,,Documentation,P3,2026-05-15 14:00:00
Préparer les assets pour les stores,false,2026-05-31,Application mobile,Boîte de réception,false,190,,Design Frontend,P2,2026-05-18 09:00:00
Définir les KPIs du produit,false,,La boussole,Boîte de réception,false,200,,Documentation Review,P2,2026-05-20 14:00:00
